collected_videos_count,collection_time,influencer_id,id,nickname,followers,hearts
10.0,1674149812391.0,6.521224594177737e+18,thim.neee,Chêm,200.0,11900.0
10.0,1674148774986.0,6.521936523858969e+18,po.trann77,Trần Thanh Tâm,3800000.0,93100000.0
10.0,1674148726792.0,6.522696745360556e+18,baotramthieu,Thiều Bảo Trâm,1600000.0,23400000.0
10.0,1674149255320.0,6.522787925498397e+18,vukieuoanh.95,Vũ Kiều Oanh,352200.0,2800000.0
10.0,1674149330879.0,6.523040322674e+18,13nhimsoc,Insta : nhimsoc13,105100.0,1600000.0
10.0,1674149149097.0,6.523137264951411e+18,emmy_nguyen_,Emmy Nguyen,35800.0,184300.0
10.0,1674149245326.0,6.523709057575961e+18,trbwnng,Ngòng Ngọc,287400.0,15100000.0
10.0,1674149120621.0,6.523787211409097e+18,fan_ling1008,Fanling Daily,5882.0,50200.0
10.0,1674148612337.0,6.523839909668094e+18,mcmisthy,Misthy,4600000.0,30500000.0
10.0,1674148973585.0,6.524905371051966e+18,spookybaby.vn,Spookybaby.vn,93.0,144.0
10.0,1674149019349.0,6.525236431077868e+18,linhmato,Hà Thảo Linh,1100000.0,10700000.0
10.0,1674149080435.0,6.525725939618595e+18,chang.mie,ChangMie (Mie),2500000.0,37500000.0
10.0,1674148416713.0,6.526025021487645e+18,uncover_official,Uncover Official,1100000.0,29600000.0
10.0,1674151099181.0,6.526735444897972e+18,tangngoctuyet,TĂNG NGỌC TUYẾT 🖤,423200.0,5900000.0
10.0,1674148612806.0,6.527552795565113e+18,haian1207,Hải An 🐤,506100.0,15200000.0
10.0,1674148871761.0,6.528295249411244e+18,dptmino,Dương Phương Thảo,116600.0,1300000.0
10.0,1674149662339.0,6.529814417814733e+18,gialinhnguyen.6,Gia Linh Nguyễn,587100.0,6500000.0
10.0,1674149002976.0,6.531554957082231e+18,nguyenlydiemmai,nguyenlydiemmai,112200.0,1400000.0
10.0,1674148685419.0,6.531746186340073e+18,chancloset93,CHAN.CLOSET 💦💦💦,4650.0,60700.0
10.0,1674148635104.0,6.532022538975838e+18,annaclothing,ANNA clothing,5554.0,20300.0
10.0,1674148672582.0,6.532061904293069e+18,kartychang,Nguyễn Thị Thảo Trang,107200.0,1500000.0
10.0,1674148634595.0,6.532766096192537e+18,nguyenminhtranggg,Nguyen Minh Trang,1100000.0,8400000.0
10.0,1674148856714.0,6.537107272794735e+18,caraphuongnguyen,CARA,865900.0,13400000.0
10.0,1674148744574.0,6.538374005581152e+18,nhung.gumiho,Nhung Gumiho,525500.0,5900000.0
10.0,1674149184658.0,6.539003941504877e+18,nhyyng,Lý Nguyễn Nhi,1300000.0,30300000.0
10.0,1674148826878.0,6.539490406550979e+18,honganhh712,Hồng Ánh🤍,1100000.0,12000000.0
10.0,1674321137750.0,6.539644603301642e+18,phuonganhle.17.09,Phương Anh ✅,129700.0,683200.0
10.0,1674148603288.0,6.539820923075215e+18,_kaylee_.tr,Tường Duy,191600.0,3900000.0
10.0,1674148641928.0,6.53988150534552e+18,lizkimcuong1511,Liz Kim Cương,778900.0,6300000.0
10.0,1674148541672.0,6.540452201638052e+18,hurfstudio,HURFSTUDIO,2482.0,3736.0
10.0,1674148637182.0,6.540626371999629e+18,dongnhi,Đông Nhi,1400000.0,11300000.0
10.0,1674148539226.0,6.541879409543414e+18,vtkh2004,Vũ Thị Khánh Huyền,7900000.0,157800000.0
10.0,1674148566101.0,6.541945493626634e+18,dongsuong,Đông Sương💋,94100.0,487600.0
10.0,1674148721689.0,6.541975340666569e+18,phi.phuonganh,Phí Phương Anh,484700.0,5700000.0
10.0,1674148638763.0,6.542379575267492e+18,lnglinggg,Thịt chua🙈,215400.0,3000000.0
10.0,1674149623657.0,6.542688926627856e+18,futuristix.official,FuturistiX,11200.0,89500.0
10.0,1674148578116.0,6.543822082336424e+18,phamthu.official,Phạm Thư,195500.0,1500000.0
10.0,1674148682718.0,6.543974018163474e+18,meenaxbae,Meena,1700000.0,12300000.0
10.0,1674148872666.0,6.544669251030286e+18,mikolantrinh,Miko Lan Trinh,387500.0,4000000.0
10.0,1674150990955.0,6.54528348424677e+18,thaohuongssh,Thảo Hương,2900000.0,126100000.0
10.0,1674148611238.0,6.545425492635288e+18,chaubui,Chau Bui,1600000.0,27100000.0
10.0,1674148666065.0,6.545977233265705e+18,nhatquyhhh,Yiu,489600.0,6600000.0
10.0,1674148593010.0,6.546109336161337e+18,khaofficial.vn,Pages: KHA. Insta: khaofficial,119600.0,732100.0
10.0,1674149369302.0,6.54616516729738e+18,koise.studio,Koisé.studio,589.0,3228.0
10.0,1674149964694.0,6.546438664821293e+18,hathaohani,Hạ Thảo Hani,406400.0,3300000.0
10.0,1674148497210.0,6.547223844423041e+18,quyenquibaby.naau,🅀🅄🅈🄴🄽 🅀🅄🄸🎀,717700.0,11300000.0
10.0,1674148940258.0,6.547464708282532e+18,iammeoangel,Mèo Sao Hoả 🐾,3800000.0,93800000.0
10.0,1674148661017.0,6.547890013979083e+18,emilyng_official,Ngon Và Khoẻ Cùng Emily,435100.0,3800000.0
10.0,1674148542177.0,6.548672520890941e+18,phuongwgiangg,Phương Giang,131700.0,1200000.0
10.0,1674149125539.0,6.54875686427163e+18,caocaobycaochen,caocaobycaochen,77300.0,601400.0
10.0,1674148603507.0,6.54946081596742e+18,lyxinhnhat,𝙇𝙮𝙭𝙞𝙣𝙝𝙣𝙝𝙖𝙩,441200.0,14600000.0
10.0,1674148540417.0,6.549820979589071e+18,lucienguyenlove,Lucie nguyen,362000.0,6000000.0
10.0,1674149058446.0,6.551263933239673e+18,dkmv.vn,DKMV BRAND,76100.0,163600.0
10.0,1674149050805.0,6.551606253411516e+18,dravy13,Dra Vy,113000.0,3300000.0
10.0,1674149246100.0,6.551633467648721e+18,elpisclothing,ELPIS Clothing,10100.0,13500.0
10.0,1674148640981.0,6.552418284649988e+18,lehaanh3108,Lê Hạ Anh,719000.0,8800000.0
10.0,1674148444398.0,6.553553032776221e+18,vansat97,Trần Vân,1100000.0,15900000.0
10.0,1674149128608.0,6.553968343161881e+18,harrietdesigning,Harriet,401.0,1277.0
10.0,1674149081926.0,6.554775336968798e+18,toonanana,Hồng Tuyết,161100.0,999000.0
10.0,1674149672426.0,6.555292358211961e+18,thaoo_dangg,Thẻo Thẻo,92900.0,1100000.0
10.0,1674148583261.0,6.557885389343621e+18,chipupu,Chi Pu,3200000.0,30400000.0
10.0,1674148567888.0,6.558435075657269e+18,itsphuongly91,It’s PhuongLy,1278.0,15400.0
10.0,1674149415595.0,6.558806106716586e+18,ivonedieulinh.official,Ivone Diệu Linh,38200.0,560400.0
10.0,1674150073030.0,6.559494745466257e+18,herlyshop,Herlyshop,32500.0,51300.0
10.0,1674148532943.0,6.559755937329086e+18,labellestore,LaBelleStore,68000.0,421000.0
10.0,1674148750312.0,6.559914033465803e+18,myhuyen_channel,Mỹ Huyền Channel,1100000.0,11400000.0
10.0,1674148519748.0,6.560226834758975e+18,nplinhh,Nplinh,98700.0,993100.0
10.0,1674148508463.0,6.560877491433521e+18,tombiheo,Phuong Ha,116400.0,943100.0
10.0,1674148611134.0,6.561272404903313e+18,doha_20.07,Đỗ Thị Hà,729600.0,19400000.0
10.0,1674148719635.0,6.56142109950206e+18,thuylinnvu,Keomeo100lan,2747.0,10100.0
10.0,1674149253711.0,6.562172321993392e+18,rubycharmm,Rubycharmm✨,35500.0,441500.0
10.0,1674148888529.0,6.562313134115406e+18,trangtrang.tran,T r a n g,20100.0,109900.0
10.0,1674148648527.0,6.562735504650256e+18,lebong95,Le bong,9200000.0,211200000.0
10.0,1674148666992.0,6.563226371786211e+18,lcling15,Lục Linh,847100.0,6900000.0
10.0,1674234859870.0,6.564173994161127e+18,regods.club,Regods Club,112500.0,2000000.0
10.0,1674148610022.0,6.564544224196788e+18,mosohali12,Mosohali,2889.0,23100.0
10.0,1674148612651.0,6.565464461354844e+18,nganxumii,Ngân Xumii (review đồ body),14900.0,134000.0
10.0,1674149562868.0,6.566414318152892e+18,dzungbiezhcm,Dzung Biez Store HCM,179.0,344.0
10.0,1674149666828.0,6.567967671396041e+18,lingg2809,Hà 💋,4700000.0,145700000.0
10.0,1674149118439.0,6.56833503104231e+18,wyntracyyhihi,Wyn,146100.0,1100000.0
10.0,1674148851065.0,6.570252746858136e+18,chauanh13702,Lê Ngọc Châu Anh,209700.0,2600000.0
10.0,1674149127471.0,6.571054052716593e+18,hangtrinh.luna,Luna,686800.0,16800000.0
10.0,1674148823347.0,6.571320387606381e+18,llesuuu,Lesustore,437.0,9163.0
10.0,1674148672230.0,6.572271868308931e+18,jukysan,Juky San,859100.0,10100000.0
10.0,1674149401821.0,6.57244036830172e+18,yaya_truongnhi,Yaya Truong Nhi,561700.0,3800000.0
10.0,1674148967223.0,6.572468278856876e+18,haingannnnnn,Trần Hải Ngân,197600.0,1700000.0
